ts_ms,raw_Sv_per_s,avg_Sv_per_s,total_Sv,alert
1763401818237,0.014920833,0.01505795,0.124473618542,1
1763401818258,0.014495833,0.014889315,0.124786294159,1
1763401818284,0.0149625,0.014911271,0.125173987193,1
1763401818319,0.015254167,0.015014139,0.125699482071,1
1763401818350,0.015145833,0.015053648,0.126181198794,1
1763401818381,0.015570833,0.015208803,0.126637462892,1
1763401818429,0.014983333,0.015141162,0.127364238683,1
1763401818452,0.015125,0.015136314,0.127712373896,1
1763401818482,0.015816667,0.01534042,0.128187926902,1
1763401818513,0.014779167,0.015172044,0.128643088212,1
1763401818546,0.015575,0.015292931,0.129163047851,1
1763401818578,0.015995833,0.015503801,0.129659169496,1
1763401818614,0.015245833,0.015426411,0.13019909388,1
1763401818645,0.0158875,0.015564738,0.130697165486,1
1763401818680,0.015779167,0.015629066,0.131228553743,1
1763401818723,0.015354167,0.015546596,0.131912603988,1
1763401818747,0.016158333,0.015730118,0.132274396691,1
1763401818777,0.0156375,0.015702332,0.132761168991,1
1763401818809,0.016041667,0.015804133,0.133251097101,1
1763401818841,0.0163125,0.015956643,0.133761709671,1
1763401818891,0.016083333,0.01599465,0.13456144217,1
1763401818912,0.015954167,0.015982505,0.134913057279,1
1763401818940,0.015816667,0.015932753,0.135343241623,1
1763401818974,0.0162375,0.016024177,0.135888063656,1
1763401819005,0.0160375,0.016028174,0.136384937057,1
1763401819038,0.016008333,0.016022222,0.136913670381,1
1763401819073,0.015491667,0.015863055,0.137468877319,1
1763401819109,0.016695833,0.016112889,0.138048941314,1
1763401819136,0.016220833,0.016145272,0.138484863661,1
1763401819169,0.015766667,0.01603169,0.139013909447,1
1763401819202,0.015966667,0.016012183,0.139542311498,1
1763401819237,0.0157125,0.015922278,0.140099591239,1
1763401819269,0.016929167,0.016224345,0.140618770274,1
1763401819304,0.016604167,0.016338291,0.141190610473,1
1763401819332,0.015991667,0.016234304,0.141645170984,1
1763401819365,0.016354167,0.016270263,0.142182089656,1
1763401819403,0.016654167,0.016385434,0.142804736146,1
