ts_ms,raw_Sv_per_s,avg_Sv_per_s,total_Sv,alert
1763399156285,0.36723,0.110169,0.0110169,0
1763399156331,0.36599,0.1869153,0.0198019191,0
1763399156369,0.36058,0.23901471,0.02864546337,0
1763399156398,0.34974,0.2722323,0.03681243228,0
1763399156425,0.353765,0.29669211,0.0448231191933,0
1763399156461,0.35378,0.31381848,0.0561205843124,0
1763399156489,0.347325,0.32387043,0.0651889564328,0
1763399156513,0.34654,0.3306713,0.073125067705,0
1763399156541,0.34518,0.33502391,0.082505737244,0
1763399156580,0.339425,0.33634424,0.0956231625445,0
1763399156610,0.33934,0.33724297,0.105740451552,0
1763399156642,0.339275,0.33785258,0.116213881435,0
1763399156673,0.33306,0.3364148,0.126642740353,0
1763399156706,0.33322,0.33545636,0.13771280032,0
1763399156742,0.332475,0.33456195,0.149757030659,0
1763399156773,0.327055,0.33230987,0.160390946426,0
1763399156801,0.32645,0.33055191,0.169315847925,0
1763399156837,0.32557,0.32905734,0.181490969327,0
1763399156871,0.31965,0.32623513,0.192256728769,0
1763399156907,0.31989,0.32433159,0.204256997756,0
1763399156943,0.31903,0.32274112,0.215875677931,0
1763399156965,0.309765,0.31884828,0.222890340117,0
1763399156999,0.309885,0.3161593,0.233639756209,0
1763399157038,0.30933,0.31411051,0.245890066012,0
1763399157071,0.30108,0.31020136,0.256126710741,0
1763399157100,0.30043,0.30726995,0.265037539257,0
1763399157137,0.301365,0.30549846,0.276340982431,0
1763399157164,0.29073,0.30106792,0.284469816404,0
1763399157203,0.291445,0.29818105,0.295800696207,0
1763399157235,0.292015,0.29633123,0.305579626903,0
1763399157262,0.278765,0.29106136,0.31343828371,0
1763399157293,0.281465,0.28818245,0.322083757338,0
1763399157329,0.28518,0.28728172,0.332713180904,0
1763399157369,0.27044,0.2822292,0.344002349008,0
1763399157396,0.272075,0.27918294,0.351540288437,0
1763399157425,0.272425,0.27715556,0.359577799656,0
1763399157456,0.250215,0.26907339,0.367919074792,0
1763399157511,0.250655,0.26354787,0.382414207864,0
1763399157538,0.25312,0.26041951,0.389445534684,0
1763399157563,0.256935,0.25937416,0.395929888641,0
1763399157591,0.25982,0.25950791,0.403196110143,0
1763399157625,0.261285,0.26004104,0.41203750542,0
1763399157661,0.260855,0.26028523,0.421407773566,0
1763399157697,0.25952,0.26005566,0.430769777269,0
1763399157723,0.2579,0.25940896,0.437514410252,0
1763399157753,0.24016,0.25363427,0.44512343843,0
1763399157789,0.20618,0.23939799,0.4537417661,0
1763399157838,0.16279,0.21641559,0.464346130186,0
1763399157863,0.108805,0.18413242,0.468949440574,0
1763399157887,0.073335,0.15089319,0.472570877154,0
1763399157917,0.0469,0.11969523,0.476161734162,0
1763399157953,0.059055,0.10150316,0.479815848049,0
1763399157992,0.053925,0.087229714,0.483217806913,0
1763399158024,0.06014,0.0791028,0.485669993717,0
1763399158050,0.112,0.08897196,0.487983264679,0
1763399158081,0.127005,0.10038187,0.491195484585,0
