ts_ms,raw_Sv_per_s,avg_Sv_per_s,total_Sv,alert,hot_abs,hot_rel,hot_thr,normF,calib_phase
1763421846671,0.00039157197,0.00040016567,0.00176394677655,0,0,41350,225,44000,0
1763421846701,0.00037310606,0.00039204779,0.00177649230584,0,0,39400,225,44000,0
1763421846753,0.00036754735,0.00038469766,0.00179034142152,0,0,38813,225,44000,0
1763421846783,0.00037035038,0.00038039347,0.00180517676701,0,0,39109,225,44000,0
1763421846835,0.00036732955,0.0003764743,0.00182663580185,0,0,38790,225,44000,0
1763421846867,0.00035456439,0.00036990133,0.00183847264425,0,0,37442,225,44000,0
1763421846920,0.00034079545,0.00036116956,0.00185147474855,0,0,35988,225,44000,0
1763421846955,0.00034256629,0.00035558858,0.00186640946895,0,0,36175,225,44000,0
1763421847011,0.00033888258,0.00035057678,0.00188534061504,0,0,35786,225,44000,0
1763421847042,0.00032160038,0.00034188386,0.00189799031784,0,0,33961,225,44000,0
1763421847111,0.00031931818,0.00033511416,0.00191910250967,0,0,33720,225,44000,0
1763421847141,0.00031722538,0.00032974752,0.00193130316801,0,0,33499,225,44000,0
1763421847213,0.00029213068,0.00031846247,0.00195009245378,0,0,30849,225,44000,0
1763421847249,0.00027574811,0.00030564816,0.00196323532471,0,0,29119,225,44000,0
1763421847303,0.00028988636,0.00030091962,0.00198038774316,0,0,30612,225,44000,0
1763421847337,0.00028904356,0.0002973568,0.00199020051767,0,0,30523,225,44000,0
1763421847410,0.00027289773,0.00029001908,0.00200963179608,0,0,28818,225,44000,0
1763421847449,0.00025788826,0.00028037983,0.00202112736926,0,0,27233,225,44000,0
1763421847505,0.00027375947,0.00027839372,0.00203643902411,0,0,28909,225,44000,0
1763421847542,0.00026690341,0.00027494663,0.00204716194268,0,0,28185,225,44000,0
1763421847608,0.00025018939,0.00026751946,0.00206348062968,0,0,26420,225,44000,0
1763421847654,0.00025071023,0.00026247669,0.00207450465064,0,0,26475,225,44000,0
1763421847707,0.00026057765,0.00026190698,0.00208969525538,0,0,27517,225,44000,0
1763421847743,0.00024427083,0.00025661613,0.0021002165169,0,0,25795,225,44000,0
1763421847804,0.00023050189,0.00024878186,0.00211389951933,0,0,24341,225,44000,0
1763421847849,0.00023017992,0.00024320128,0.00212435717442,0,0,24307,225,44000,0
1763421847891,0.00021090909,0.00023351362,0.00213766745098,0,0,22272,225,44000,0
1763421847921,0.00020257576,0.00022423226,0.00214484288343,0,0,21392,225,44000,0
1763421847953,0.00020182765,0.00021751088,0.0021518032316,0,0,21313,225,44000,0
1763421847994,0.00019931818,0.00021205307,0.00215858892987,0,0,21048,225,44000,0
1763421848023,0.00018765152,0.0002047326,0.00216595930361,0,0,19816,225,44000,0
1763421848102,0.00017195076,0.00019489805,0.00217843277882,0,0,18158,225,44000,0
1763421848138,0.00017837121,0.00018994,0.00218679013877,0,0,18836,225,44000,0
1763421848204,0.00017944129,0.00018679039,0.00219725040035,0,0,18949,225,44000,0
1763421848245,0.00016620265,0.00018061407,0.00220555864735,0,0,17551,225,44000,0
1763421848296,0.00022124053,0.000192802,0.00221519874759,0,0,23363,225,44000,0
1763421848335,0.00023982955,0.00020691027,0.00222388897881,0,0,25326,225,44000,0
1763421848398,0.0002338447,0.0002149906,0.00223635843337,0,0,24694,225,44000,0
1763421848440,0.00021581439,0.00021523774,0.00224582889373,0,0,22790,225,44000,0
