ts_ms,raw_Sv_per_s,avg_Sv_per_s,total_Sv,alert
1763401363847,0.010475,0.0031425,0.00031425,0
1763401363867,0.010341667,0.00530225,0.00046801525,0
1763401363891,0.0103625,0.006820325,0.000624882725,0
1763401363921,0.0099625,0.0077629775,0.0008655350275,0
1763401363953,0.0038791667,0.0065978342,0.00107006788925,0
1763401363982,0.0040875,0.005844734,0.0012454099085,0
1763401364016,0.0040208333,0.0052975638,0.00142022951332,0
1763401364050,0.003075,0.0046307946,0.00158230732599,0
1763401364082,0.0028916667,0.0041090563,0.0017137971261,0
1763401364114,0.0029333333,0.0037563394,0.0018302436468,0
1763401364156,0.0023416667,0.0033319376,0.00197351696206,0
1763401364177,0.0024833333,0.0030773563,0.00203506408796,0
1763401364214,0.00245,0.0028891494,0.00214485176541,0
1763401364245,0.0015583333,0.0024899046,0.00222203880753,0
1763401364277,0.0015625,0.0022116832,0.00229281267022,0
1763401364313,0.0015416667,0.0020106782,0.00236519708709,0
1763401364340,0.0015791667,0.0018812248,0.00241599015595,0
1763401364375,0.0014208333,0.0017431073,0.00247699891287,0
1763401364406,0.0016041667,0.0017014251,0.00252974309217,0
1763401364443,0.001475,0.0016334976,0.00258854900566,0
1763401364476,0.0015625,0.0016121983,0.00264336374847,0
1763401364509,0.0014833333,0.0015735388,0.00269529052961,0
1763401364540,0.001525,0.0015589772,0.00274361882206,0
1763401364572,0.001575,0.001563784,0.00279365991079,0
1763401364609,0.0016416667,0.0015871488,0.00285079726817,0
1763401364639,0.0017166667,0.0016260042,0.00290120339748,0
1763401364673,0.001675,0.0016407029,0.00295698729676,0
1763401364703,0.0014916667,0.001595992,0.00300486705808,0
1763401364736,0.0014708333,0.0015584444,0.00305473727986,0
1763401364773,0.0015208333,0.0015471611,0.00311352940172,0
1763401364803,0.0015875,0.0015592628,0.00316030728485,0
1763401364839,0.0015625,0.0015602339,0.00321647570668,0
1763401364868,0.0015041667,0.0015434138,0.00326123470566,0
1763401364902,0.0017,0.0015903896,0.00331371756347,0
1763401364938,0.0015541667,0.0015795227,0.0033721599049,0
1763401364965,0.0016333333,0.0015956659,0.00341524288471,0
1763401364999,0,0.0011169661,0.00345321973358,0
1763401365031,0,0.0007818763,0.00347745789889,0
1763401365068,0,0.00054731341,0.00349825580847,0
1763401365101,4.1666667e-06,0.00038436939,0.00351093999825,0
1763401365130,0,0.00026905857,0.00351847363824,0
1763401365164,0,0.000188341,0.00352487723223,0
1763401365197,0,0.0001318387,0.00352922790932,0
1763401365233,0,9.228709e-05,0.00353264253164,0
1763401365266,0,6.4600963e-05,0.00353470976246,0
1763401365293,1.6666667e-05,5.0220674e-05,0.00353611594133,0
1763401365341,2.9166667e-05,4.3904472e-05,0.00353822335598,0
1763401365364,5.4166667e-05,4.698313e-05,0.00353930396797,0
1763401365397,3.75e-05,4.4138191e-05,0.00354076052828,0
1763401365427,5e-05,4.5896734e-05,0.00354209153356,0
1763401365456,1.25e-05,3.5877714e-05,0.00354316786497,0
1763401365492,0,2.51144e-05,0.00354407198336,0
1763401365526,5.8333333e-05,3.508008e-05,0.00354526470607,0
1763401365562,0,2.4556056e-05,0.00354612416802,0
1763401365599,0,1.7189239e-05,0.00354677735911,0
1763401365622,0,1.2032467e-05,0.00354705410585,0
1763401365656,0,8.4227271e-06,0.00354733205585,0
1763401365692,0,5.895909e-06,0.00354755020448,0
1763401365726,0,4.1271363e-06,0.00354769052712,0
1763401365754,0,2.8889954e-06,0.00354776852999,0
1763401365789,0,2.0222968e-06,0.00354783931038,0
1763401365820,0,1.4156077e-06,0.00354788460983,0
1763401365858,0,9.9092542e-07,0.00354792226499,0
1763401365887,0,6.936478e-07,0.00354794238078,0
1763401365926,0,4.8555346e-07,0.00354796131737,0
1763401365958,0,3.3988742e-07,0.00354797185388,0
1763401365989,4.5833333e-05,1.3987921e-05,0.00354841946735,0
1763401366017,0.00058333333,0.00018479154,0.00355359363061,0
1763401366068,0.00034583333,0.00023310408,0.00356548193876,0
1763401366097,2.0833333e-05,0.00016942286,0.00357039520161,0
1763401366125,2.0833333e-05,0.000124846,0.00357389088961,0
1763401366149,3.75e-05,9.86422e-05,0.00357625830241,0
1763401366180,0.00035,0.00017404954,0.00358165383814,0
1763401366230,0.0019375,0.00070308468,0.00361610498736,0
1763401366258,0.0021958333,0.0011509093,0.00364833044705,0
1763401366285,0.0017375,0.0013268865,0.00368415638234,0
1763401366312,0.0021458333,0.0015725705,0.00372818835759,0
1763401366351,0.0018583333,0.0016582994,0.00379286203345,0
1763401366377,0.0021833333,0.0018158096,0.00383825727263,0
1763401366414,0.003575,0.0023435667,0.0039273128071,0
1763401366448,0.0036083333,0.0027229967,0.00401989469449,0
1763401366476,0.0032583333,0.0028835977,0.00410063542957,0
1763401366515,0.0029708333,0.0029097684,0.00421411639627,0
1763401366542,0.0028583333,0.0028943379,0.00429226351859,0
1763401366579,0.00275,0.0028510365,0.00439775186927,0
1763401366610,0.0026458333,0.0027894756,0.00448422561142,0
1763401366642,0.002575,0.0027251329,0.00456870473093,0
1763401366680,0.0026666667,0.002707593,0.00467159326573,0
1763401366711,0.003025,0.0028028151,0.0047612833494,0
1763401366738,0.0027416667,0.0027844706,0.00483367958449,0
1763401366774,0.0025208333,0.0027053794,0.00493377862252,0
1763401366804,0.0024416667,0.0026262656,0.00501256659006,0
1763401366853,0.0023666667,0.0025483859,0.0051374374996,0
